index,TableName,SeriesCode,LineNumber,LineDescription,METRIC_NAME,CL_UNIT,UNIT_MULT,Notes
DNETRX,U20406,DNETRX,12,Net transactions in used autos,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMARRX,U20406,DMARRX,13,Used auto margin,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DREERX,U20406,DREERX,14,Employee reimbursement,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DUTRRX,U20406,DUTRRX,15,Used light trucks,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DUTNRX,U20406,DUTNRX,16,Net transactions in used trucks,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DUTMRX,U20406,DUTMRX,17,Used truck margin,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMVPRX,U20406,DMVPRX,18,Motor vehicle parts and accessories (58),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DTATRX,U20406,DTATRX,19,Tires,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DPAARX,U20406,DPAARX,20,Accessories and parts,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DFDHRX,U20406,DFDHRX,21,Furnishings and durable household equipment,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DFFFRX,U20406,DFFFRX,22,Furniture and furnishings (parts of 31 and 32),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DFNRRX,U20406,DFNRRX,23,Furniture,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DCLFRX,U20406,DCLFRX,24,"Clocks, lamps, lighting fixtures, and other household decorative items",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DFLRRX,U20406,DFLRRX,25,Carpets and other floor coverings,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DWCTRX,U20406,DWCTRX,26,Window coverings,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DAPPRX,U20406,DAPPRX,27,Household appliances (part of 33),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMHARX,U20406,DMHARX,28,Major household appliances,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DSEARX,U20406,DSEARX,29,Small electric household appliances,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DUTERX,U20406,DUTERX,30,"Glassware, tableware, and household utensils (34)",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DCHNRX,U20406,DCHNRX,31,Dishes and flatware,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNECRX,U20406,DNECRX,32,Nonelectric cookware and tableware,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DTOORX,U20406,DTOORX,33,Tools and equipment for house and garden (35),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DHDWRX,U20406,DHDWRX,34,"Tools, hardware, and supplies",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DLWNRX,U20406,DLWNRX,35,Outdoor equipment and supplies,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DREQRX,U20406,DREQRX,36,Recreational goods and vehicles,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DVAPRX,U20406,DVAPRX,37,"Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DVAARX,U20406,DVAARX,38,Video and audio equipment,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DTVSRX,U20406,DTVSRX,39,Televisions,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DOVARX,U20406,DOVARX,40,Other video equipment,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DAUDRX,U20406,DAUDRX,41,Audio equipment,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DRECRX,U20406,DRECRX,42,Recording media,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DRTDRX,U20406,DRTDRX,43,"Audio discs, tapes, vinyl, and permanent digital downloads",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DOVERX,U20406,DOVERX,44,"Video discs, tapes, and permanent digital downloads",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DCAMRX,U20406,DCAMRX,45,Photographic equipment,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DIPERX,U20406,DIPERX,46,Information processing equipment,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DCPPRX,U20406,DCPPRX,47,Personal computers/tablets and peripheral equipment,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DCPSRX,U20406,DCPSRX,48,Computer software and accessories,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DOIPRX,U20406,DOIPRX,49,"Calculators, typewriters, and other information processing equipment",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DSPGRX,U20406,DSPGRX,50,"Sporting equipment, supplies, guns, and ammunition (part of 80)",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DWHLRX,U20406,DWHLRX,51,Sports and recreational vehicles (79),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMCYRX,U20406,DMCYRX,52,Motorcycles,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DBCYRX,U20406,DBCYRX,53,Bicycles and accessories,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DBARRX,U20406,DBARRX,54,"Pleasure boats, aircraft, and other recreational vehicles",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DBOARX,U20406,DBOARX,55,Pleasure boats,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DAIRRX,U20406,DAIRRX,56,Pleasure aircraft,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DREVRX,U20406,DREVRX,57,Other recreational vehicles,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DRBKRX,U20406,DRBKRX,58,Recreational books (part of 90),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMSCRX,U20406,DMSCRX,59,Musical instruments (part of 80),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DODGRX,U20406,DODGRX,60,Other durable goods,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DJRYRX,U20406,DJRYRX,61,Jewelry and watches (part of 119),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DJLYRX,U20406,DJLYRX,62,Jewelry,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DWTCRX,U20406,DWTCRX,63,Watches,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DTAERX,U20406,DTAERX,64,Therapeutic appliances and equipment (42),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DTMERX,U20406,DTMERX,65,Therapeutic medical equipment,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DEYERX,U20406,DEYERX,66,Corrective eyeglasses and contact lenses,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DEBKRX,U20406,DEBKRX,67,Educational books (96),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DLUGRX,U20406,DLUGRX,68,Luggage and similar personal items (part of 119),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DTCERX,U20406,DTCERX,69,Telephone and related communication equipment,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNDGRX,U20406,DNDGRX,70,Nondurable goods,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DFXARX,U20406,DFXARX,71,Food and beverages purchased for off-premises consumption,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DTFDRX,U20406,DTFDRX,72,Food and nonalcoholic beverages purchased for off-premises consumption (4),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DFOFRX,U20406,DFOFRX,73,Food purchased for off-premises consumption,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DCBPRX,U20406,DCBPRX,74,Cereals and bakery products,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DGRARX,U20406,DGRARX,75,Cereals,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DBAKRX,U20406,DBAKRX,76,Bakery products,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMAPRX,U20406,DMAPRX,77,Meats and poultry,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DBEERX,U20406,DBEERX,78,Beef and veal,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DPORRX,U20406,DPORRX,79,Pork,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMEARX,U20406,DMEARX,80,Other meats,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DPOURX,U20406,DPOURX,81,Poultry,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DFISRX,U20406,DFISRX,82,Fish and seafood,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMDERX,U20406,DMDERX,83,"Milk, dairy products, and eggs",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMILRX,U20406,DMILRX,84,Fresh milk,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DDAIRX,U20406,DDAIRX,85,Processed dairy products,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DGGSRX,U20406,DGGSRX,86,Eggs,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DFATRX,U20406,DFATRX,87,Fats and oils,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DFAVRX,U20406,DFAVRX,88,Fresh fruits and vegetables,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DFRURX,U20406,DFRURX,89,Fruit (fresh),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DVEGRX,U20406,DVEGRX,90,Vegetables (fresh),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DPFVRX,U20406,DPFVRX,91,Processed fruits and vegetables,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DSWERX,U20406,DSWERX,92,Sugar and sweets,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DOFDRX,U20406,DOFDRX,93,"Food products, not elsewhere classified",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNBVRX,U20406,DNBVRX,94,Nonalcoholic beverages purchased for off-premises consumption,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DCTMRX,U20406,DCTMRX,95,"Coffee, tea, and other beverage materials",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DJNBRX,U20406,DJNBRX,96,"Mineral waters, soft drinks, and vegetable juices",Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DAOPRX,U20406,DAOPRX,97,Alcoholic beverages purchased for off-premises consumption (5),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DLIQRX,U20406,DLIQRX,98,Spirits,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DWINRX,U20406,DWINRX,99,Wine,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMLTRX,U20406,DMLTRX,100,Beer,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DFFDRX,U20406,DFFDRX,101,Food produced and consumed on farms (6),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DCLORX,U20406,DCLORX,102,Clothing and footwear,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DGARRX,U20406,DGARRX,103,Garments,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DWGCRX,U20406,DWGCRX,104,Women's and girls' clothing (10),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
